P1 - DS_WallThickness,P2 - DS_Width,P3 - DS_Height,P4 - DS_FloorThickness,P8 - DS_Length,P6 - Directional Deformation Maximum [m],P7 - Geometry Mass [kg]
0.10391252,1.00306048,0.29947592,0.1164588,16.12929453,3.36E-05,0.125599803
0.05033109,1.00306048,0.29947592,0.13842974,16.12929453,6.29E-05,0.068920208
0.07750778,1.00306048,0.29947592,0.18544535,16.12929453,4.30E-05,0.099693246
0.09563987,1.00306048,0.29947592,0.12706247,16.12929453,3.59E-05,0.117891025
0.09279141,1.00306048,0.29947592,0.05500992,16.12929453,3.68E-05,0.115151704
0.12179782,1.00306048,0.29947592,0.19114209,16.12929453,2.97E-05,0.141041527
0.08961889,1.00306048,0.29947592,0.09741551,16.12929453,3.79E-05,0.112048853
0.0713489,1.00306048,0.29947592,0.10849851,16.12929453,4.62E-05,0.093094224
0.10996078,1.00306048,0.29947592,0.17930495,16.12929453,3.21E-05,0.131006756
0.1014687,1.26579905,0.58392101,0.09880874,28.65134395,6.67E-05,0.373885569
0.11357953,1.26579905,0.58392101,0.12891812,28.65134395,6.18E-05,0.41101431
0.07384546,1.26579905,0.58392101,0.10167663,28.65134395,8.38E-05,0.283411616
0.12005858,1.26579905,0.58392101,0.16807545,28.65134395,5.96E-05,0.430255719
0.08339346,1.26579905,0.58392101,0.07466737,28.65134395,7.66E-05,0.315606673
0.05924734,1.26579905,0.58392101,0.19010103,28.65134395,9.93E-05,0.232267908
0.06972339,1.26579905,0.58392101,0.11167779,28.65134395,8.75E-05,0.269206806
0.07700324,1.26579905,0.58392101,0.1455885,28.65134395,8.12E-05,0.294168448
0.09919851,1.26579905,0.58392101,0.18436486,28.65134395,6.77E-05,0.366755569
0.0938667,1.26579905,0.58392101,0.08737506,28.65134395,7.04E-05,0.34979672
0.11954067,1.26579905,0.58392101,0.15835291,28.65134395,5.98E-05,0.428733437
0.06004973,1.26579905,0.58392101,0.06459426,28.65134395,9.83E-05,0.235139951
0.10851232,1.26579905,0.58392101,0.05655369,28.65134395,6.37E-05,0.39566476
0.08884665,1.26579905,0.58392101,0.17207899,28.65134395,7.32E-05,0.333554558
0.06182885,0.46648762,0.41075353,0.0529605,17.31977835,0.000275007,0.072023838
0.05518477,0.46648762,0.41075353,0.12898834,17.31977835,0.00029918,0.065541184
0.05869828,0.46648762,0.41075353,0.13405986,17.31977835,0.000285664,0.069005644
0.05162208,0.46648762,0.41075353,0.10804766,17.31977835,0.000314899,0.061944438
0.08355471,0.46648762,0.41075353,0.19026256,17.31977835,0.000225121,0.091220249
0.077327,0.46648762,0.41075353,0.1513931,17.31977835,0.000236095,0.086026374
0.09414357,0.46648762,0.41075353,0.14235374,17.31977835,0.000210579,0.099494295
0.07188046,0.46648762,0.41075353,0.16995519,17.31977835,0.000247587,0.081281978
0.08774281,0.46648762,0.41075353,0.06079422,17.31977835,0.000218828,0.094576032
0.0974279,0.46648762,0.41075353,0.18251359,17.31977835,0.000206908,0.101920144
0.10712774,0.46648762,0.41075353,0.07666303,17.31977835,0.000197911,0.108702834
0.06769075,0.46648762,0.41075353,0.08577753,17.31977835,0.000257903,0.077502715
0.0910157,0.46648762,0.41075353,0.11714224,17.31977835,0.000214421,0.097122497
0.1042846,0.46648762,0.41075353,0.17943572,17.31977835,0.000200279,0.106773391
0.07635804,0.46648762,0.41075353,0.09039083,17.31977835,0.000238001,0.08519618
0.09056501,1.45957574,0.7225675,0.1105073,11.74298487,3.69E-06,0.200417115
0.10076124,1.45957574,0.7225675,0.14336866,11.74298487,3.37E-06,0.219340394
0.05774294,1.45957574,0.7225675,0.08829779,11.74298487,5.41E-06,0.134672718
0.081646,1.45957574,0.7225675,0.16163029,11.74298487,4.02E-06,0.183289742
0.05020929,1.45957574,0.7225675,0.19186729,11.74298487,6.12E-06,0.118509773
0.11518171,1.45957574,0.7225675,0.07431134,11.74298487,3.03E-06,0.244932555
0.06145036,1.45957574,0.7225675,0.170392,11.74298487,5.12E-06,0.142477122
0.09773235,1.45957574,0.7225675,0.05167983,11.74298487,3.46E-06,0.21379146
0.06728112,1.45957574,0.7225675,0.15184015,11.74298487,4.74E-06,0.154553678
0.11121264,1.45957574,0.7225675,0.18715497,11.74298487,3.11E-06,0.238023619
0.08535255,1.45957574,0.7225675,0.10970003,11.74298487,3.87E-06,0.190473248
0.07319234,1.45957574,0.7225675,0.09283467,11.74298487,4.41E-06,0.166552504
0.10677085,1.45957574,0.7225675,0.13372266,11.74298487,3.22E-06,0.230170703
0.07769191,1.45957574,0.7225675,0.06853552,11.74298487,4.19E-06,0.175522598
0.12218071,1.45957574,0.7225675,0.12019784,11.74298487,2.89E-06,0.256869303
0.07739021,1.3456403,0.63974768,0.06039298,5.65711165,1.53E-06,0.093997369
0.09027839,1.3456403,0.63974768,0.07134509,5.65711165,1.30E-06,0.10669116
0.10811431,1.3456403,0.63974768,0.16734924,5.65711165,1.06E-06,0.122986306
0.05192873,1.3456403,0.63974768,0.18434916,5.65711165,2.26E-06,0.066540671
0.08122593,1.3456403,0.63974768,0.15008075,5.65711165,1.46E-06,0.097857744
